2026-03-17 22:54:22 | INFO | consumers | ============================================================
2026-03-17 22:54:22 | INFO | consumers | AlphaFlow — Real-time Data Consumers
2026-03-17 22:54:22 | INFO | consumers | ============================================================
2026-03-17 22:54:22 | INFO | kafka.conn | <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=localhost:9092 <connecting> [IPv6 ('::1', 9092, 0, 0)]>: connecting to localhost:9092 [('::1', 9092, 0, 0) IPv6]
2026-03-17 22:54:22 | INFO | kafka.conn | <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=localhost:9092 <checking_api_versions_recv> [IPv6 ('::1', 9092, 0, 0)]>: Broker version identified as 2.6
2026-03-17 22:54:22 | INFO | kafka.conn | <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=localhost:9092 <connected> [IPv6 ('::1', 9092, 0, 0)]>: Connection complete.
2026-03-17 22:54:22 | INFO | consumers |   ✓ Started price consumer thread
2026-03-17 22:54:22 | INFO | consumers |   ✓ Started allocation consumer thread
2026-03-17 22:54:22 | INFO | kafka.conn | <BrokerConnection client_id=kafka-python-2.3.0, node_id=bootstrap-0 host=localhost:9092 <connecting> [IPv6 ('::1', 9092, 0, 0)]>: connecting to localhost:9092 [('::1', 9092, 0, 0) IPv6]
2026-03-17 22:54:22 | INFO | kafka.conn | <BrokerConnection client_id=kafka-python-2.3.0, node_id=bootstrap-0 host=localhost:9092 <connecting> [IPv6 ('::1', 9092, 0, 0)]>: connecting to localhost:9092 [('::1', 9092, 0, 0) IPv6]
2026-03-17 22:54:22 | INFO | consumers |   ✓ Started monitor consumer thread
2026-03-17 22:54:22 | INFO | consumers | 
  All consumers running. Press Ctrl+C to stop.

2026-03-17 22:54:22 | INFO | consumers |   Rebalance trigger: price move >2% OR every 4h
2026-03-17 22:54:22 | INFO | consumers |   Watch: data/local/streaming/live_prices.json
2026-03-17 22:54:22 | INFO | consumers |   Watch: reports/allocation.json

2026-03-17 22:54:22 | INFO | consumers |   Heartbeat | Active threads: ['price', 'allocation', 'monitor']
2026-03-17 22:54:22 | INFO | kafka.conn | <BrokerConnection client_id=kafka-python-2.3.0, node_id=bootstrap-0 host=localhost:9092 <checking_api_versions_recv> [IPv6 ('::1', 9092, 0, 0)]>: Broker version identified as 2.6
2026-03-17 22:54:22 | INFO | kafka.conn | <BrokerConnection client_id=kafka-python-2.3.0, node_id=bootstrap-0 host=localhost:9092 <connected> [IPv6 ('::1', 9092, 0, 0)]>: Connection complete.
2026-03-17 22:54:22 | INFO | kafka.consumer.subscription_state | Updating subscribed topics to: ('alphaflow.features.ready',)
2026-03-17 22:54:22 | INFO | consumers |   ✓ Kafka consumer connected | group=alphaflow-allocation-consumer | topics=['alphaflow.features.ready']
2026-03-17 22:54:22 | INFO | consumers |   ✓ Allocation consumer started
2026-03-17 22:54:22 | INFO | kafka.conn | <BrokerConnection client_id=kafka-python-2.3.0, node_id=bootstrap-0 host=localhost:9092 <checking_api_versions_recv> [IPv6 ('::1', 9092, 0, 0)]>: Broker version identified as 2.6
2026-03-17 22:54:22 | INFO | kafka.conn | <BrokerConnection client_id=kafka-python-2.3.0, node_id=bootstrap-0 host=localhost:9092 <connected> [IPv6 ('::1', 9092, 0, 0)]>: Connection complete.
2026-03-17 22:54:22 | INFO | kafka.consumer.subscription_state | Updating subscribed topics to: ('alphaflow.prices.equity', 'alphaflow.prices.crypto')
2026-03-17 22:54:22 | INFO | consumers |   ✓ Kafka consumer connected | group=alphaflow-price-consumer | topics=['alphaflow.prices.equity', 'alphaflow.prices.crypto']
2026-03-17 22:54:22 | INFO | consumers |   ✓ Price consumer started
2026-03-17 22:54:22 | INFO | kafka.conn | <BrokerConnection client_id=kafka-python-2.3.0, node_id=1 host=localhost:9092 <connecting> [IPv6 ('::1', 9092, 0, 0)]>: connecting to localhost:9092 [('::1', 9092, 0, 0) IPv6]
2026-03-17 22:54:22 | INFO | kafka.conn | <BrokerConnection client_id=kafka-python-2.3.0, node_id=1 host=localhost:9092 <connecting> [IPv6 ('::1', 9092, 0, 0)]>: connecting to localhost:9092 [('::1', 9092, 0, 0) IPv6]
2026-03-17 22:54:22 | INFO | kafka.conn | <BrokerConnection client_id=kafka-python-2.3.0, node_id=1 host=localhost:9092 <connected> [IPv6 ('::1', 9092, 0, 0)]>: Connection complete.
2026-03-17 22:54:22 | INFO | kafka.conn | <BrokerConnection client_id=kafka-python-2.3.0, node_id=bootstrap-0 host=localhost:9092 <connected> [IPv6 ('::1', 9092, 0, 0)]>: Closing connection. 
2026-03-17 22:54:22 | INFO | kafka.conn | <BrokerConnection client_id=kafka-python-2.3.0, node_id=1 host=localhost:9092 <connected> [IPv6 ('::1', 9092, 0, 0)]>: Connection complete.
2026-03-17 22:54:22 | INFO | kafka.conn | <BrokerConnection client_id=kafka-python-2.3.0, node_id=bootstrap-0 host=localhost:9092 <connected> [IPv6 ('::1', 9092, 0, 0)]>: Closing connection. 
2026-03-17 22:54:23 | INFO | kafka.cluster | Coordinator for group/alphaflow-allocation-consumer is BrokerMetadata(nodeId='coordinator-1', host='localhost', port=9092, rack=None)
2026-03-17 22:54:23 | INFO | kafka.coordinator | Discovered coordinator coordinator-1 for group alphaflow-allocation-consumer
2026-03-17 22:54:23 | INFO | kafka.coordinator.heartbeat | Starting new heartbeat thread
2026-03-17 22:54:23 | INFO | kafka.cluster | Coordinator for group/alphaflow-price-consumer is BrokerMetadata(nodeId='coordinator-1', host='localhost', port=9092, rack=None)
2026-03-17 22:54:23 | INFO | kafka.coordinator | Discovered coordinator coordinator-1 for group alphaflow-price-consumer
2026-03-17 22:54:23 | INFO | kafka.coordinator.heartbeat | Starting new heartbeat thread
2026-03-17 22:54:23 | INFO | kafka.coordinator.consumer | Revoking previously assigned partitions set() for group alphaflow-price-consumer
2026-03-17 22:54:23 | INFO | kafka.coordinator | Failed to join group alphaflow-price-consumer: NodeNotReadyError: coordinator-1
2026-03-17 22:54:23 | INFO | kafka.coordinator.consumer | Revoking previously assigned partitions set() for group alphaflow-allocation-consumer
2026-03-17 22:54:23 | INFO | kafka.coordinator | Failed to join group alphaflow-allocation-consumer: NodeNotReadyError: coordinator-1
2026-03-17 22:54:23 | INFO | kafka.conn | <BrokerConnection client_id=kafka-python-2.3.0, node_id=coordinator-1 host=localhost:9092 <connecting> [IPv6 ('::1', 9092, 0, 0)]>: connecting to localhost:9092 [('::1', 9092, 0, 0) IPv6]
2026-03-17 22:54:23 | INFO | kafka.conn | <BrokerConnection client_id=kafka-python-2.3.0, node_id=coordinator-1 host=localhost:9092 <connecting> [IPv6 ('::1', 9092, 0, 0)]>: connecting to localhost:9092 [('::1', 9092, 0, 0) IPv6]
2026-03-17 22:54:23 | INFO | kafka.coordinator | Failed to join group alphaflow-price-consumer: NodeNotReadyError: coordinator-1
2026-03-17 22:54:23 | INFO | kafka.conn | <BrokerConnection client_id=kafka-python-2.3.0, node_id=coordinator-1 host=localhost:9092 <connected> [IPv6 ('::1', 9092, 0, 0)]>: Connection complete.
2026-03-17 22:54:23 | INFO | kafka.coordinator | Failed to join group alphaflow-allocation-consumer: NodeNotReadyError: coordinator-1
2026-03-17 22:54:23 | INFO | kafka.conn | <BrokerConnection client_id=kafka-python-2.3.0, node_id=coordinator-1 host=localhost:9092 <connected> [IPv6 ('::1', 9092, 0, 0)]>: Connection complete.
2026-03-17 22:54:23 | INFO | kafka.coordinator | (Re-)joining group alphaflow-price-consumer
2026-03-17 22:54:23 | INFO | kafka.coordinator | Received member id kafka-python-2.3.0-47dc3fb9-b1d3-4b2c-95c6-c8cd092fecaa for group alphaflow-price-consumer; will retry join-group
2026-03-17 22:54:23 | INFO | kafka.coordinator | Failed to join group alphaflow-price-consumer: [Error 79] MemberIdRequiredError
2026-03-17 22:54:23 | INFO | kafka.coordinator | (Re-)joining group alphaflow-price-consumer
2026-03-17 22:54:23 | INFO | kafka.coordinator | (Re-)joining group alphaflow-allocation-consumer
2026-03-17 22:54:23 | INFO | kafka.coordinator | Received member id kafka-python-2.3.0-5b69da6f-a848-453e-8f7d-179e5121de1d for group alphaflow-allocation-consumer; will retry join-group
2026-03-17 22:54:23 | INFO | kafka.coordinator | Failed to join group alphaflow-allocation-consumer: [Error 79] MemberIdRequiredError
2026-03-17 22:54:23 | INFO | kafka.coordinator | (Re-)joining group alphaflow-allocation-consumer
2026-03-17 22:54:23 | INFO | kafka.coordinator | Successfully joined group alphaflow-allocation-consumer <Generation 7 (member_id: kafka-python-2.3.0-5b69da6f-a848-453e-8f7d-179e5121de1d, protocol: range)>
2026-03-17 22:54:23 | INFO | kafka.consumer.subscription_state | Updated partition assignment: [TopicPartition(topic='alphaflow.features.ready', partition=0)]
